Relatório de detalhes dos recursos do grupo de recursos
Todo o período
Status do recurso,Recurso,Nível,Status,Tipo de recurso,Última atualização,Conversões,Valor conv.,Impr.,Cliques,Código da moeda,Custo,Adicionada por
Ativado,https://tpc.googlesyndication.com/simgad/4277099627758918143,Grupo de recursos,Qualificado,Imagem quadrada,27 de mai. de 2026 20:01,"3,00","7.500,00",1.568,58,BRL,"29,84",Anunciante
Ativado,"Apartamentos
Reforma e projeto autoral
Aquarius, Urbanova e região
https://www.assiscarrer-arquitetura.com/residencial.html",Campanha,Qualificado,Sitelink,27 de mai. de 2026 19:54,"3,00","7.500,00",1.251,93,BRL,"54,96",Anunciante
Ativado,https://www.youtube.com/watch?v=Ssv0uXJ4d6g,Grupo de recursos,Qualificado,Vídeo vertical do YouTube,24 de mai. de 2026 16:13,"0,00","0,00",27,0,BRL,"0,20",IA do Google
Ativado,Projetos de Arquitetura com Qualidade e Competência de Profissionais Atentos.,Grupo de recursos,Qualificado,Descrição,24 de mai. de 2026 15:52,"23,48","58.694,95",4.425,267,BRL,"211,06",Anunciante
Ativado,https://www.youtube.com/watch?v=ak0oVeQ2nXk,Grupo de recursos,Qualificado,Vídeo horizontal do YouTube,24 de mai. de 2026 16:13,"0,00","0,00",236,7,BRL,"1,83",IA do Google
Ativado,Assis Carrer Arquitetura,Grupo de recursos,Qualificado,Nome da empresa,24 de mai. de 2026 15:52,"47,00","117.500,00",27.937,1.093,BRL,"551,65",Anunciante
Ativado,https://tpc.googlesyndication.com/simgad/4377659093516736457,Grupo de recursos,Qualificado,Imagem quadrada,27 de mai. de 2026 20:01,"0,00","0,00",1.675,43,BRL,"40,75",Anunciante
Ativado,https://tpc.googlesyndication.com/simgad/3901209487287419515,Grupo de recursos,Qualificado,Imagem horizontal,24 de mai. de 2026 15:52,"3,00","7.500,00",2.511,87,BRL,"39,70",Anunciante
Ativado,https://tpc.googlesyndication.com/simgad/3939274730480572304,Grupo de recursos,Qualificado,Logotipo,24 de mai. de 2026 15:52,"10,52","26.291,84",13.794,514,BRL,"313,88",Anunciante
Ativado,"Qualidade no projeto, investimento na medida da sua realidade. Atendimento em SJC.",Grupo de recursos,Qualificado,Descrição,27 de mai. de 2026 19:46,"2,00","5.000,00",5.587,182,BRL,"184,21",Anunciante
Ativado,https://tpc.googlesyndication.com/simgad/2268593104866439594,Grupo de recursos,Qualificado,Imagem vertical,27 de mai. de 2026 20:01,"0,00","0,00",23,1,BRL,"0,05",Anunciante
Ativado,https://tpc.googlesyndication.com/simgad/13493482667432209958,Grupo de recursos,Qualificado,Imagem quadrada,27 de mai. de 2026 20:01,"0,00","0,00",1.810,94,BRL,"52,62",Anunciante
Ativado,https://tpc.googlesyndication.com/simgad/6231596816351152711,Grupo de recursos,Qualificado,Imagem vertical,27 de mai. de 2026 20:01,"0,00","0,00",107,2,BRL,"0,59",Anunciante
