Relatório de programação de anúncios diário e por hora
Todo o período
Dia da semana,Hora do dia,Cliques,Impr.,CTR,Código da moeda,CPC méd.,Custo,Taxa de conv.,Conversões,Custo / conv.
Quinta-feira,0,3,84,"3,57%",BRL,"0,54","1,61","0,00%","0,00","0,00"
Segunda-feira,23,2,28,"7,14%",BRL,"0,20","0,39","0,00%","0,00","0,00"
Sexta-feira,2,1,13,"7,69%",BRL,"0,44","0,44","0,00%","0,00","0,00"
Sábado,5,4,50,"8,00%",BRL,"0,71","2,84","0,00%","0,00","0,00"
Domingo,11,8,107,"7,48%",BRL,"0,75","6,02","12,50%","1,00","6,02"
Sexta-feira,3,4,42,"9,52%",BRL,"0,34","1,35","0,00%","0,00","0,00"
Sábado,10,9,351,"2,56%",BRL,"0,47","4,24","0,00%","0,00","0,00"
Domingo,3,0,25,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
Quinta-feira,19,2,113,"1,77%",BRL,"0,30","0,60","0,00%","0,00","0,00"
Terça-feira,2,3,72,"4,17%",BRL,"0,27","0,82","0,00%","0,00","0,00"
Sábado,4,0,24,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
Quinta-feira,11,14,246,"5,69%",BRL,"0,39","5,47","0,00%","0,00","0,00"
Sexta-feira,0,2,101,"1,98%",BRL,"0,30","0,59","0,00%","0,00","0,00"
Segunda-feira,19,5,51,"9,80%",BRL,"0,37","1,83","0,00%","0,00","0,00"
Sábado,8,22,409,"5,38%",BRL,"0,56","12,30","0,00%","0,00","0,00"
Domingo,16,23,519,"4,43%",BRL,"0,45","10,33","0,00%","0,00","0,00"
Quarta-feira,21,9,91,"9,89%",BRL,"0,45","4,05","10,00%","1,00","4,05"
Sábado,11,12,299,"4,01%",BRL,"0,42","5,06","0,00%","0,00","0,00"
Domingo,0,4,31,"12,90%",BRL,"0,42","1,69","0,00%","0,00","0,00"
Quarta-feira,9,5,244,"2,05%",BRL,"0,33","1,67","0,00%","0,00","0,00"
Terça-feira,9,9,146,"6,16%",BRL,"0,52","4,71","0,00%","0,00","0,00"
Quinta-feira,13,10,220,"4,55%",BRL,"0,53","5,25","0,00%","0,00","0,00"
Domingo,21,9,106,"8,49%",BRL,"0,53","4,74","0,00%","0,00","0,00"
Sábado,22,8,142,"5,63%",BRL,"0,37","2,98","12,50%","1,00","2,98"
Sexta-feira,9,4,187,"2,14%",BRL,"0,75","3,00","0,00%","0,00","0,00"
Sábado,21,8,151,"5,30%",BRL,"0,52","4,17","25,00%","2,00","2,08"
Quarta-feira,15,9,160,"5,63%",BRL,"0,45","4,02","0,00%","0,00","0,00"
Quarta-feira,20,7,155,"4,52%",BRL,"0,63","4,42","0,00%","0,00","0,00"
Sábado,12,13,308,"4,22%",BRL,"0,84","10,92","7,14%","1,00","10,92"
